;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées
7696;743 673 146 003;75019;146 AVENUE DE FLANDRE;A;COMMERCE ACCESSOIRE;0.85;1.75;M MAJDI RESTAURANT SOLEIL (RESTAURATION RAPIDE - SNACK);48.893728, 2.381124
7697;743 673 150 004;75019;150 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;1.0;4.9;SARL JIAN JUN  (RESTAURATION RAPIDE - SNACK);48.89396, 2.381427
7710;708 029 002 002;75018;2 RUE RAMEY;A;TERRASSE OUVERTE;0.95;3.0;SARL LE DRUGEON JEAN FRANCOIS BOUDAY (RESTAURANT);48.887155, 2.347552
7715;708 029 028 003;75018;28 RUE RAMEY;A;TERRASSE OUVERTE;1.0;3.6;SARL LA TAVERNE 28  (RESTAURANT);48.889027, 2.346558
7721;708 029 061 006;75018;61 RUE RAMEY;A;TERRASSE OUVERTE;0.6;8.0;SARL MONA  (RESTAURANT);48.890543, 2.345388
7729;708 609 052 003;75018;Pan coupé 52 RUE DU SIMPLON / 1 RUE NEUVE DE LA CARDONNIERE;A;TERRASSE OUVERTE;0.8;3.1;SARL LE BONHEUR DU JOUR  (BAR RESTAURANT);
7735;709 189 001 002;75018;1 PLACE DU TERTRE;A;TERRASSE OUVERTE;0.5;5.0;SNC AU CLAIRON DES CHASSEURS  (RESTAURANT);48.886555, 2.341112
7736;709 189 013 003;75018;13 PLACE DU TERTRE;A;TERRASSE OUVERTE;11.0;7.0;SARL LE SABOT ROUGE  (RESTAURANT);48.886454, 2.340504
7737;709 189 013 003;75018;13 PLACE DU TERTRE;A;TERRASSE OUVERTE;0.45;6.2;SARL LE SABOT ROUGE  (RESTAURANT);48.886454, 2.340504
7745;711 768 086 002;75018;86 BOULEVARD DE LA CHAPELLE;A;TERRASSE OUVERTE;1.0;7.6;SARL MILANO  (RESTAURANT);48.884224, 2.353587
7746;711 772 003 004;75018;3 RUE DE LA CHAPELLE;A;TERRASSE FERMEE;1.1;4.96;SARL DH  (BAR RESTAURANT);48.89064, 2.359686
7754;716 845 005 003;75018;5 RUE ORDONER;A;TERRASSE FERMEE;1.1;9.05;SARL  SUB MARX DORMOY  (RESTAURATION RAPIDE - SNACK);48.890172, 2.359005
7759;721 771 006 002;75018;6 PLACE DE LE CHAPELLE;A;TERRASSE OUVERTE;0.9;5.0;SARL HOTEL DU SQUARE  (BAR RESTAURANT);48.884835, 2.360629
7770;726 683 020 002;75018;20 BOULEVARD NEY;A;TERRASSE FERMEE;0.9;10.6;SARL RESTAURANT LE NEY  (BAR RESTAURANT);48.898737, 2.368053
7771;726 683 020 002;75018;20 BOULEVARD NEY;A;TERRASSE OUVERTE;0.6;10.6;SARL RESTAURANT LE NEY  (BAR RESTAURANT);48.898737, 2.368053
7773;726 683 048 003;75018;48 BOULEVARD NEY;A;TERRASSE OUVERTE;1.25;7.6;SARL CHICKITO  (RESTAURATION RAPIDE - SNACK);48.898757, 2.365224
7775;729 332 056 004;75018;56 RUE DE TORCY;A;TERRASSE OUVERTE;3.0;5.1;SARL ROYAL PANDA  	TIN TIN (RESTAURANT);48.891118, 2.360687
7779;732 437 202 002;75019;202 RUE DE CRIMEE;A;TERRASSE FERMEE;1.3;6.4;M DEHLOUM  (BAR RESTAURANT);48.891903, 2.375554
7783;733 479 012 002;75019;Pan coupé 12 RUE EURYALE DEHAYNIN / 1 RUE TANDOU;A;TERRASSE OUVERTE;1.1;3.1;SARL LA RENAISSANCE  (RESTAURANT);48.885848, 2.378279
7787;733 673 056 002;75019;56 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;0.6;2.5;M CHHU  (RESTAURANT);48.88792, 2.373653
7788;733 673 062 002;75019;62 AVENUE DE FLANDRE;A;TERRASSE FERMEE;0.98;6.27;SARL BAR DU METRO  (BAR RESTAURANT);48.888215, 2.374152
7790;733 673 082 003;75019;82 AVENUE DE FLANDRE;A;TERRASSE FERMEE;1.18;4.7;SARL AMED  (RESTAURATION RAPIDE - SNACK);48.889519, 2.375778
7791;733 673 084 002;75019;84 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;1.45;9.0;M ISKOUNEME  (RESTAURANT);48.889759, 2.37594
7792;733 673 118 004;75019;118 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;1.6;7.0;SARL KIYA GRILLADES EFES  (RESTAURATION RAPIDE - SNACK);48.892161, 2.379109
7793;734 810 001 003;75019;2 QUAI DE LA LOIRE;B;TERRASSE OUVERTE;1.2;9.3;SARL OURAZI  (BAR RESTAURANT);48.883155, 2.370871
7798;238 682 007 003;75006;7 RUE STANISLAS;A;TERRASSE OUVERTE;0.8;3.2;SARL CHEUCLE RESTAURATION  (RESTAURANT);48.84379, 2.32835
7799;238 682 012 003;75006;12 RUE STANISLAS;A;TERRASSE OUVERTE;0.8;5.8;SARL SOUS LES CERISIERS  (RESTAURANT);48.843879, 2.328218
7800;176 096 033 002;75005;33 PLACE MAUBERT;A;TERRASSE OUVERTE;3.0;3.6;M QUOICO  (RESTAURANT);48.85029, 2.348995
7805;176 400 001 004;75005;1 QUAI DE MONTEBELLO;A;TERRASSE FERMEE;2.9;4.0;SARL LEMONIER  (RESTAURANT);48.851425, 2.350034
7806;176 400 001 004;75005;1 QUAI DE MONTEBELLO;A;TERRASSE OUVERTE;5.1;4.0;SARL LEMONIER  (RESTAURANT);48.851425, 2.350034
7807;177 580 005 002;75005;5 RUE DE PONTOISE;A;TERRASSE OUVERTE;0.6;6.0;SARL SANDRA MICHIELSEN  (RESTAURANT);48.850133, 2.352277
7808;178 304 018 003;75005;18 RUE ROLLIN;B;TERRASSE OUVERTE;1.15;9.2;SAS DIDOU  (RESTAURANT);48.844863, 2.349917
7809;178 845 006 003;75005;6 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.6;7.0;SARL LA ROSE DE DAMAS  (RESTAURANT);48.849544, 2.35521
7810;178 845 006 003;75005;6 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;0.9;7.0;SARL LA ROSE DE DAMAS  (RESTAURANT);48.849544, 2.35521
7813;178 845 012 004;75005;12 BOULEVARD SAINT GERMAIN;A;TERRASSE FERMEE;2.24;10.46;SARL L ATLAS  (RESTAURANT);48.849476, 2.354612
7819;179 371 019 002;75005;19 QUAI DE LA TOURNELLE;A;TERRASSE FERMEE;1.6;10.95;SARL AU BEAUJOLAIS  (RESTAURANT);48.850007, 2.354748
7827;181 639 041 004;75005;41 RUE CENSIER;A;TERRASSE OUVERTE;1.25;6.8;SARL LES ARCS EN CIEL  (RESTAURANT);48.83993, 2.351727
7829;182 191 021 002;75005;21 RUE DE LA COLLEGIALE;A;TERRASSE OUVERTE;0.8;4.65;SARL AU BON COIN  (RESTAURANT);48.838126, 2.351838
7830;182 573 036 003;75005;36 RUE DAUBENTON;A;TERRASSE OUVERTE;0.9;3.4;SARL AUX DELICES D ASIE CHEZ HU  (RESTAURANT);48.841074, 2.35234
7836;494 567 101 002;75013;101 BOULEVARD DE L HOPITAL;A;TERRASSE FERMEE;2.0;6.0;SARL ROSA PIZZERIA D ISTANBUL (RESTAURATION RAPIDE - SNACK);48.837207, 2.360108
7839;494 567 137 007;75013;137 BOULEVARD DE L'HOPITAL;A;TERRASSE OUVERTE;1.4;7.0;SARL MIA  (RESTAURATION RAPIDE - SNACK);48.834884, 2.358379
7841;600 626 067 002;75015;2 RUE DE LA MONTAGNE D AULAS;A;TERRASSE FERMEE;1.2;17.26;SARL LUPAU BISTROT DU PARC (RESTAURANT);48.840308, 2.278826
7842;600 626 067 002;75015;67 RUE BALARD;A;TERRASSE OUVERTE;1.2;7.0;SARL LUPAU BISTROT DU PARC (RESTAURANT);48.84028, 2.278183
7844;600 626 090 003;75015;229 RUE SAINT CHARLES;B;TERRASSE OUVERTE;1.5;9.4;SARL SJ15 L'AUTHENTIK (RESTAURANT);48.84519, 2.284294
7848;602 301 003 002;75015;3 RUE DE LA CONVENTION;A;TERRASSE FERMEE;1.17;6.77;SARL PUJI SUSHI FUJI SUSHI (RESTAURANT);48.845813, 2.277803
7860;602 301 108 003;75015;Pan coupé 108 RUE DE LA CONVENTION / 46 AVENUE FELIX FAURE;A;TERRASSE OUVERTE;1.8;1.2;SARL BT LIMO  (RESTAURANT);48.838876, 2.281844
7861;602 301 108 003;75015;108 RUE DE LA CONVENTION;A;TERRASSE OUVERTE;0.8;5.7;SARL BT LIMO  (RESTAURANT);48.841162, 2.287505
7862;602 301 114 005;75015;Pan coupé 114 RUE DE LA CONVENTION / 2 RUE PLELO;A;TERRASSE OUVERTE;0.6;1.4;SAS LEOGAGIL LA PRESIDENCE A LA TABLE DE GA (RESTAURANT);48.840897, 2.288088
7863;602 301 124 003;75015;124 RUE DE LA CONVENTION;A;TERRASSE OUVERTE;1.2;5.0;SU HASAJ LA REGINA (RESTAURANT);48.840446, 2.289082
7865;603 293 008 004;75015;8 AVENUE EMILE ZOLA;A;TERRASSE FERMEE;1.3;6.46;SARL SAINT CYRIL  (RESTAURANT);48.84608, 2.278655
7868;603 313 108 003;75015;108 RUE DES ENTREPRENEURS;A;TERRASSE OUVERTE;0.63;4.0;SARL LA CUILLERE EN BOIS  (RESTAURANT);48.84331, 2.29377
7870;603 572 021 002;75015;Pan coupé 21 AVENUE FELIX FAURE / RUE DE JAVEL;A;TERRASSE OUVERTE;1.3;2.0;SARL LES REMPARTS LE SIGNAL (RESTAURANT);48.841941, 2.290277
