;Unnamed: 0;dossier;arrondissement;adresse;lieu;libelle_type_objet;dima;dimb;dosred;Coordonnées;surface;libelle;nom
7211;2491;274 009 014 002;75007;14 RUE DU GENERAL BERTRAND;A;TERRASSE OUVERTE;0.6;5.9;M LABORIE  (BRASSERIE);48.84785, 2.313128;3.54;BRASSERIE;M LABORIE  
7212;2541;711 772 083 002;75018;83 RUE DE LA CHAPELLE;A;TERRASSE OUVERTE;2.2;8.25;M OUAHABI  (BRASSERIE);48.897253, 2.359148;18.15;BRASSERIE;M OUAHABI  
7213;2559;725 675 008 002;75018;8 RUE L OLIVE;A;TERRASSE OUVERTE;2.0;3.05;SARL BRASSERIE L OLIVE  (BRASSERIE);48.890605, 2.361349;6.1;BRASSERIE;SARL BRASSERIE L OLIVE  
7214;2562;725 675 011 004;75018;11 RUE L OLIVE;A;CONTRE TERRASSE;1.4;10.0;SARL AMOUCHAS  (BRASSERIE);48.891009, 2.361185;14.0;BRASSERIE;SARL AMOUCHAS  
7215;2589;733 673 114 003;75019;114 AVENUE DE FLANDRE;A;TERRASSE OUVERTE;0.6;7.3;SNC NTS  (BRASSERIE);48.891944, 2.378835;4.38;BRASSERIE;SNC NTS  
7216;2593;706845099B004;75018;99 RUE ORDENER;A;TERRASSE FERMEE;1.3;7.9;SARL LE CARREFOUR  (BRASSERIE);48.891998, 2.346664;10.27;BRASSERIE;SARL LE CARREFOUR  
7217;2651;305 110 071 003;75008;71 RUE LA BOETIE;A;TERRASSE OUVERTE;0.6;3.8;SARL MASUMA  (BRASSERIE);48.872564, 2.310153;2.28;BRASSERIE;SARL MASUMA  
7218;2656;307 571 007 004;75008;1 RUE JEAN MERMOZ;B;TERRASSE OUVERTE;0.6;8.6;SARL CAMPION DIDIER  CAMPION MURIEL  (BRASSERIE);48.869659, 2.310576;5.16;BRASSERIE;SARL CAMPION DIDIER  CAMPION MURIEL  
7219;2657;309 171 002 002;75008;Pan coupé 2 / 4 PLACE DES TERNE / 272 RUE DU FAUBOURG SAINT HONORE;B;TERRASSE OUVERTE;1.0;7.9;SA BRASSERIE LORRAINE  (RESTAURANT);48.868576, 2.322898;7.9;RESTAURANT;SA BRASSERIE LORRAINE  
7220;2719;772 391 136 003;75020;Pan coupé 136 RUE DES COURONNES / 69 RUE DE LA MARE;A;TERRASSE FERMEE;1.1;5.3;M CHENG   (BRASSERIE);48.87259, 2.389466;5.83;BRASSERIE;M CHENG   
7221;2720;772 391 136 003;75020;136 RUE DES COURONNES;A;TERRASSE FERMEE;0.7;11.6;M CHENG   (BRASSERIE);48.87259, 2.389466;8.12;BRASSERIE;M CHENG   
7222;2725;774 485 036 002;75020;Pan coupé 36 RUE HENRI CHEVREAU / 19 RUE DE LA MARE;A;TERRASSE OUVERTE;0.9;6.3;EURL HENRI CHEVREAU  (BRASSERIE);48.869629, 2.389304;5.67;BRASSERIE;EURL HENRI CHEVREAU  
7223;2753;781 495 019 002;75020;19 RUE DU CAPITAINE FERBER;A;TERRASSE FERMEE;0.7;5.5;M ALLOUACHE  (BRASSERIE);48.866016, 2.40573;3.85;BRASSERIE;M ALLOUACHE  
7224;2757;783 937 229 002;75020;229 AVENUE GAMBETTA;A;TERRASSE OUVERTE;1.15;10.0;SARL LE MANOIR SANTINI  (BRASSERIE);48.874697, 2.405421;11.5;BRASSERIE;SARL LE MANOIR SANTINI  
7225;2759;783 937 261 003;75020;261 AVENUE GAMBETTA;A;TERRASSE OUVERTE;1.15;10.45;SARL BRASSERIE 4807  (BRASSERIE);48.876783, 2.406254;12.0175;BRASSERIE;SARL BRASSERIE 4807  
7226;2762;786 513 061 004;75020;61 BOULEVARD MORTIER;A;TERRASSE OUVERTE;3.0;2.5;SARL NINA  (BRASSERIE);48.868092, 2.408692;7.5;BRASSERIE;SARL NINA  
7227;2772;790 612 041 002;75020;41 RUE DE BAGNOLET;A;TERRASSE OUVERTE;0.96;0.6;_ET ALILECHE  (BRASSERIE);48.856973, 2.397409;0.576;BRASSERIE;_ET ALILECHE  
7228;2781;793 937 081 002;75020;Pan coupé 81 AVENUE GAMBETTA / 8 PLACE GAMBETTA;A;PLANCHER MOBILE;2.8;2.1;SARL SOCIETE NOUVELLE LE GAMBETTA  (BRASSERIE);48.865316, 2.39867;5.88;BRASSERIE;SARL SOCIETE NOUVELLE LE GAMBETTA  
7229;2782;793 937 081 002;75020;8 PLACE GAMBETTA;B;TERRASSE OUVERTE;3.0;5.9;SARL SOCIETE NOUVELLE LE GAMBETTA  (BRASSERIE);48.865126, 2.398498;17.7;BRASSERIE;SARL SOCIETE NOUVELLE LE GAMBETTA  
7230;2805;218 845 130 003;75006;130 BOULEVARD SAINT GERMAIN;A;TERRASSE OUVERTE;2.85;4.75;SARL ODEON SAINT ANDRE  (BRASSERIE);48.852478, 2.339318;13.5375;BRASSERIE;SARL ODEON SAINT ANDRE  
7231;2829;228 845 131 002;75006;Pan coupé 131 BOULEVARD SAINT GERMAIN / 1 RUE MONTFAUCON;A;TERRASSE FERMEE;1.8;7.85;SNC RESTO ST GERMAIN  (BRASSERIE);48.852973, 2.336058;14.13;BRASSERIE;SNC RESTO ST GERMAIN  
